epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,overfitting_gap,learning_rate
1,0.57609,0.42646,0.70212,0.92400,0.92264,-0.14963,0.00000832
2,0.38662,0.36599,0.85539,0.97346,0.97231,-0.02063,0.00001664
3,0.37784,0.35064,0.87457,0.97708,0.97622,-0.02721,0.00002496
4,0.37075,0.33469,0.86568,0.99638,0.99624,-0.03606,0.00003328
5,0.36818,0.35142,0.88529,0.98191,0.98113,-0.01676,0.00004159
6,0.36350,0.34981,0.86969,0.98191,0.98115,-0.01368,0.00004991
7,0.36155,0.33637,0.88150,0.99035,0.99002,-0.02519,0.00005823
8,0.36379,0.33426,0.86677,0.99397,0.99375,-0.02953,0.00006655
9,0.36467,0.34346,0.88258,0.98673,0.98620,-0.02122,0.00007487
10,0.36387,0.33095,0.88020,0.99759,0.99750,-0.03292,0.00008319
11,0.36186,0.34224,0.88258,0.99035,0.98997,-0.01962,0.00009151
12,0.36725,0.35153,0.88161,0.98191,0.98134,-0.01572,0.00009983
13,0.35941,0.33165,0.87208,0.99759,0.99750,-0.02776,0.00009995
14,0.35819,0.33317,0.88193,0.99517,0.99500,-0.02502,0.00009979
15,0.35661,0.34784,0.87045,0.98552,0.98491,-0.00876,0.00009953
16,0.35728,0.34283,0.88518,0.98914,0.98870,-0.01445,0.00009916
17,0.36039,0.33085,0.89320,0.99759,0.99750,-0.02954,0.00009869

GENERALIZATION METRICS
Max_Overfitting_Gap,-0.88%
Best_Val_Accuracy,99.76% (epoch 10)
Best_Val_F1,99.75%
Total_Training_Time,46.9 min
